question;answer_a;answer_b;answer_c;answer_d;correct;category;explanation;difficulty
Welches Obst ist innen oft rot und hat kleine Kerne aussen?;Banane;Erdbeere;Birne;Pflaume;1;Kinder - Natur;Die Erdbeere ist innen rot und traegt kleine Samen aussen.;1
Woraus faellt Regen meist vom Himmel?;Aus Wolken;Aus Bergen;Aus Seen;Aus Hoehlen;0;Kinder - Natur;Regen faellt aus Wolken.;1
Welche Jahreszeit kommt nach dem Fruehling?;Herbst;Winter;Sommer;Kein Monat;2;Kinder - Natur;Nach dem Fruehling folgt der Sommer.;1
Welcher Fluss fliesst durch Wien, Bratislava und Budapest?;Rhein;Donau;Elbe;Po;1;Geografie;Die Donau verbindet diese Hauptstaedte.;3
Welches Land hat die Form eines Stiefels?;Spanien;Italien;Norwegen;Griechenland;1;Geografie;Italien wird oft mit einem Stiefel verglichen.;2
Welche Wueste liegt in Nordafrika?;Gobi;Sahara;Atacama;Kalahari;1;Geografie;Die Sahara liegt in Nordafrika.;2
Wie heisst der hoechste Berg der Erde ueber dem Meeresspiegel?;K2;Mont Blanc;Mount Everest;Kilimandscharo;2;Geografie;Der Mount Everest ist der hoechste Berg ueber dem Meeresspiegel.;3
Welche Hauptstadt gehoert zu Kanada?;Toronto;Vancouver;Montreal;Ottawa;3;Geografie;Ottawa ist die Hauptstadt Kanadas.;3
Welches Land grenzt direkt an Deutschland?;Portugal;Polen;Irland;Island;1;Geografie;Polen grenzt direkt an Deutschland.;2
Auf welchem Kontinent liegt Argentinien?;Afrika;Europa;Suedamerika;Asien;2;Geografie;Argentinien liegt in Suedamerika.;2
Welcher Ozean liegt zwischen Amerika und Europa?;Indischer Ozean;Arktischer Ozean;Atlantischer Ozean;Suedlicher Ozean;2;Geografie;Zwischen Amerika und Europa liegt der Atlantik.;2
Welche Hauptstadt hat Australien?;Sydney;Melbourne;Canberra;Perth;2;Geografie;Canberra ist die Hauptstadt Australiens.;4
Welches Gebirge trennt Europa und Asien nach gaengiger Definition teilweise?;Pyrenaeen;Alpen;Ural;Apennin;2;Geografie;Der Ural gilt oft als Teil der Grenze zwischen Europa und Asien.;4
Wie viele Saiten hat eine klassische Gitarre normalerweise?;4;5;6;7;2;Musik;Eine klassische Gitarre hat normalerweise sechs Saiten.;2
Welches Instrument hat schwarze und weisse Tasten?;Trompete;Klavier;Geige;Fluete;1;Musik;Ein Klavier hat schwarze und weisse Tasten.;1
Wie nennt man eine sehr grosse Gruppe von Musikern in der Klassik?;Duo;Trio;Orchester;Solo;2;Musik;Eine grosse klassische Besetzung nennt man Orchester.;3
Welches Instrument gehoert zur Familie der Streichinstrumente?;Violine;Saxofon;Schlagzeug;Klarinette;0;Musik;Die Violine wird gestrichen.;2
Wie viele Tasten hat ein modernes Konzertklavier in der Regel?;66;72;88;96;2;Musik;Ein modernes Konzertklavier hat normalerweise 88 Tasten.;4
Wer gibt in einem Orchester oft den Einsatz?;Der Dirigent;Der Hausmeister;Der Tonmeister;Der Kartenverkaeufer;0;Musik;Der Dirigent leitet das Orchester.;2
Welches dieser Zeichen erhoeht einen Ton um einen Halbton?;b;Aufloesungszeichen;Kreuz;Punkt;2;Musik;Das Kreuz erhoeht den Ton um einen Halbton.;4
Wie nennt man ein Musikstueck fuer zwei Ausfuehrende?;Quartett;Trio;Duo;Ensemble;2;Musik;Zwei Ausfuehrende bilden ein Duo.;2
Welches Instrument spielt man typischerweise mit Drumsticks?;Cello;Harfe;Schlagzeug;Oboe;2;Musik;Ein Schlagzeug wird oft mit Sticks gespielt.;1
Wie nennt man die Lautstaerke in der Musik auf Italienisch ganz leise?;Forte;Piano;Vivace;Allegro;1;Musik;Piano bedeutet leise.;4
Wofuer steht die Abkuerzung CPU?;Central Processing Unit;Computer Power Utility;Core Print Unit;Central Program Upload;0;Technik & Computer;CPU steht fuer Central Processing Unit.;2
Welches Geraet zeigt Text und Bilder auf einem Computer an?;Monitor;Router;Mikrofon;Scanner;0;Technik & Computer;Der Monitor ist die Anzeigeeinheit.;1
Welche Taste wird oft benutzt, um eine neue Zeile zu beginnen?;Esc;Enter;Shift;Tab;1;Technik & Computer;Mit Enter beginnt man oft eine neue Zeile oder bestaetigt Eingaben.;1
Was ist ein Browser?;Ein Programm zum Surfen im Internet;Ein Kabel;Ein Lautsprecher;Ein Drucker;0;Technik & Computer;Ein Browser zeigt Webseiten an.;1
Welche Einheit misst Datenmengen?;Liter;Byte;Meter;Volt;1;Technik & Computer;Byte ist eine Grundeinheit fuer digitale Daten.;2
Was macht eine Tastatur?;Sie speichert Strom;Sie gibt Tinte aus;Sie ermoeglicht Texteingaben;Sie misst Temperatur;2;Technik & Computer;Mit einer Tastatur gibt man Zeichen ein.;1
Welches Symbol wird oft fuer drahtloses Internet verwendet?;Bluetooth-Runenzeichen;WLAN-Faecher;Play-Symbol;Akku-Symbol;1;Technik & Computer;Das typische WLAN-Symbol zeigt mehrere Funkboegen.;2
Wozu dient ein USB-Stick hauptsaechlich?;Zum Kuehlen des PCs;Zum Speichern und Transportieren von Daten;Zum Drucken von Fotos;Zum Empfangen von Radiowellen;1;Technik & Computer;USB-Sticks werden vor allem fuer Daten genutzt.;2
Was ist ein Passwort?;Ein geheimer Zugangscode;Ein Lautsprecherkabel;Ein Bildformat;Ein Mauszeiger;0;Technik & Computer;Passwoerter schuetzen Konten und Zugriffe.;1
Was macht ein Mikrofon?;Es zeigt Videos;Es nimmt Schall auf;Es kuhlt Prozessoren;Es misst Gewicht;1;Technik & Computer;Mikrofone nehmen Schall auf.;1
Aus welcher Frucht wird traditionell Guacamole gemacht?;Tomate;Avocado;Mango;Zitrone;1;Essen & Trinken;Guacamole besteht hauptsaechlich aus Avocado.;2
Welches Getraenk wird typischerweise aus geroesteten Bohnen zubereitet?;Kaffee;Apfelsaft;Tee;Kakao;0;Essen & Trinken;Kaffee wird aus geroesteten Kaffeebohnen hergestellt.;1
Welche Zutat wird fuer klassischen Pfannkuchenteig haeufig verwendet?;Mehl;Reis;Kohl;Linsen;0;Essen & Trinken;Mehl ist eine typische Grundzutat fuer Pfannkuchen.;1
Welcher Kaese wird oft auf Pizza verwendet?;Mozzarella;Camembert;Harzer Kaese;Gruyere;0;Essen & Trinken;Mozzarella ist der klassische Pizzakaese.;1
Welches Gewuerz macht Speisen oft scharf?;Zimt;Paprika edelsuess;Chili;Vanille;2;Essen & Trinken;Chili sorgt oft fuer Schaerfe.;2
Woraus wird Tofu traditionell hergestellt?;Kartoffeln;Sojabohnen;Hafer;Mandeln;1;Essen & Trinken;Tofu wird klassisch aus Sojabohnen gewonnen.;3
Welche dieser Speisen ist normalerweise ein Dessert?;Lasagne;Tiramisu;Risotto;Suppe;1;Essen & Trinken;Tiramisu ist ein Dessert.;1
Was entsteht beim Backen aus Teig im Ofen?;Brot;Eis;Limonade;Joghurt;0;Essen & Trinken;Aus Teig kann im Ofen Brot entstehen.;1
Welches Obst ist fuer seine gelbe Schale bekannt?;Banane;Kirsche;Kiwi;Pflaume;0;Essen & Trinken;Die Banane hat eine gelbe Schale.;1
Welche Hauptzutat hat Kartoffelpueree?;Karotten;Kartoffeln;Erbsen;Mais;1;Essen & Trinken;Kartoffelpueree besteht hauptsaechlich aus Kartoffeln.;1
"Welches Wort ist das Gegenteil von ""kalt""?";dunkel;warm;schnell;hoch;1;Sprache & Woerter;Das Gegenteil von kalt ist warm.;1
Wie nennt man ein Wort mit gleicher oder aehnlicher Bedeutung?;Gegenteil;Synonym;Zahlwort;Artikel;1;Sprache & Woerter;Ein Synonym hat gleiche oder aehnliche Bedeutung.;3
Welches dieser Woerter ist ein Verb?;laufen;blau;Haus;schnell;0;Sprache & Woerter;Laufen ist ein Verb.;2
Welcher Satz endet korrekt mit einem Satzzeichen?;Ich gehe heute schwimmen;Ich gehe heute schwimmen.;ich gehe heute schwimmen;ICH gehe heute schwimmen;1;Sprache & Woerter;Ein Aussagesatz endet korrekt mit einem Punkt.;2
"Wie heisst die Mehrzahl von ""Kind""?";Kinds;Kinder;Kinderen;Kinden;1;Sprache & Woerter;Die korrekte Mehrzahl ist Kinder.;2
Welches Wort ist ein Nomen?;springen;Baum;gruener;laut;1;Sprache & Woerter;Baum ist ein Nomen.;2
"Mit welchem Buchstaben beginnt das Wort ""Zug""?";S;T;Z;G;2;Sprache & Woerter;Zug beginnt mit dem Buchstaben Z.;1
Welches Wort ist richtig geschrieben?;Farrad;Fahrrad;Farad;Fahrat;1;Sprache & Woerter;Fahrrad ist die richtige Schreibweise.;2
"Was ist das Gegenteil von ""gross""?";stark;klein;weit;schnell;1;Sprache & Woerter;Das Gegenteil von gross ist klein.;1
Wie nennt man die Person oder Sache, um die es im Satz geht?;Verb;Subjekt;Komma;Zeile;1;Sprache & Woerter;Das Subjekt ist oft der Satzgegenstand.;4
Welches Teilchen vermittelt in der Standardtheorie die elektromagnetische Wechselwirkung?;Gluon;Photon;Graviton;W-Boson;1;Schwere Fragen - Wissenschaft;Die elektromagnetische Wechselwirkung wird durch Photonen vermittelt.;5
Wie lautet die chemische Formel von Schwefelsaeure?;HNO3;HCl;H2SO4;NaOH;2;Schwere Fragen - Wissenschaft;Schwefelsaeure hat die Formel H2SO4.;5
Welcher Prozess beschreibt die Umwandlung von RNA in Protein an den Ribosomen?;Replikation;Transkription;Translation;Mutation;2;Schwere Fragen - Wissenschaft;Die Proteinsynthese am Ribosom heisst Translation.;5
Welche SI-Einheit hat die elektrische Spannung?;Ampere;Ohm;Volt;Watt;2;Schwere Fragen - Wissenschaft;Die Spannung wird in Volt gemessen.;4
Welcher Planet besitzt das auffaelligste Ringsystem in unserem Sonnensystem?;Mars;Saturn;Merkur;Venus;1;Schwere Fragen - Wissenschaft;Saturn ist fuer sein stark ausgepraegtes Ringsystem bekannt.;4
Was ist die Quadratwurzel von 144?;10;11;12;14;2;Schwere Fragen - Wissenschaft;12 mal 12 ergibt 144.;3
Welches Organell wird oft als Kraftwerk der Zelle bezeichnet?;Golgi-Apparat;Ribosom;Mitochondrium;Lysosom;2;Schwere Fragen - Wissenschaft;Mitochondrien erzeugen einen Grossteil der zellulaeren Energie.;5
Welches Element hat die Ordnungszahl 26?;Kupfer;Eisen;Kobalt;Nickel;1;Schwere Fragen - Wissenschaft;Die Ordnungszahl 26 gehoert zu Eisen.;5
Wie nennt man die scheinbare Ablenkung bewegter Koerper durch die Erdrotation?;Doppler-Effekt;Coriolis-Effekt;Hall-Effekt;Lotuseffekt;1;Schwere Fragen - Wissenschaft;Die Ablenkung durch Erdrotation heisst Coriolis-Effekt.;5
Welche mathematische Konstante ist naeherungsweise 3,14159?;e;phi;pi;tau gleich 1;2;Schwere Fragen - Wissenschaft;3,14159 ist die Kreiszahl pi.;4
In welchem Jahr fiel die Berliner Mauer?;1987;1988;1989;1990;2;Schwere Fragen - Geschichte;Die Berliner Mauer fiel im Jahr 1989.;4
Welche Schlacht von 1815 beendete Napoleons Herrschaft endgueltig?;Austerlitz;Leipzig;Waterloo;Verdun;2;Schwere Fragen - Geschichte;Die Niederlage bei Waterloo 1815 beendete Napoleons Herrschaft.;5
Wer war der erste Bundeskanzler der Bundesrepublik Deutschland?;Willy Brandt;Konrad Adenauer;Helmut Schmidt;Ludwig Erhard;1;Schwere Fragen - Geschichte;Konrad Adenauer war der erste Bundeskanzler der Bundesrepublik.;4
Wie hiess das Schiff, mit dem die Pilgervaeter 1620 nach Nordamerika segelten?;Santa Maria;Endeavour;Mayflower;Victory;2;Schwere Fragen - Geschichte;Die Pilgervaeter reisten 1620 mit der Mayflower.;5
Welches Reich wurde 476 n. Chr. mit dem Ende des Westroemischen Reiches verbunden?;Byzantinisches Reich;Heiliges Roemisches Reich;Roemisches Reich im Westen;Perserreich;2;Schwere Fragen - Geschichte;476 markiert traditionell das Ende des Westroemischen Reiches.;5
Welcher Vertrag gilt als formales Ende des Ersten Weltkriegs zwischen Deutschland und den Alliierten?;Vertrag von Maastricht;Vertrag von Versailles;Potsdamer Abkommen;Schengen-Abkommen;1;Schwere Fragen - Geschichte;Der Versailler Vertrag beendete den Kriegszustand formal.;5
Wer fuehrte viele Eroberungszuege von Makedonien bis nach Indien?;Caesar;Alexander der Grosse;Hannibal;Perikles;1;Schwere Fragen - Geschichte;Alexander der Grosse eroberte ein riesiges Reich.;4
Welche Stadt wurde 1453 von den Osmanen erobert?;Athen;Konstantinopel;Rom;Alexandria;1;Schwere Fragen - Geschichte;1453 fiel Konstantinopel an die Osmanen.;5
Welche Bewegung leitete Martin Luther mit seinen 95 Thesen wesentlich mit ein?;Renaissance;Reformation;Aufklaerung;Industrialisierung;1;Schwere Fragen - Geschichte;Luthers Thesen waren ein Ausloeser der Reformation.;4
Wer war die laengst regierende Monarchin des Vereinigten Koenigreichs bis 2022?;Koenigin Victoria;Koenigin Elisabeth II.;Koenigin Anne;Maria I.;1;Schwere Fragen - Geschichte;Bis 2022 hielt Elisabeth II. diesen Rekord.;5
"Wer schrieb den Roman ""Faust"" in seiner beruehmten deutschen Fassung?";Friedrich Schiller;Johann Wolfgang von Goethe;Thomas Mann;Heinrich Heine;1;Schwere Fragen - Literatur;Goethe schrieb die beruehmte deutsche Fassung von Faust.;5
"Wie heisst der Autor von ""1984""?";Aldous Huxley;George Orwell;Ray Bradbury;Ernest Hemingway;1;Schwere Fragen - Literatur;1984 stammt von George Orwell.;4
Wer schuf die Figur Sherlock Holmes?;Agatha Christie;Arthur Conan Doyle;Edgar Allan Poe;Jules Verne;1;Schwere Fragen - Literatur;Sherlock Holmes wurde von Arthur Conan Doyle erfunden.;4
In welchem Werk kaempfen die Familien Montague und Capulet gegeneinander?;Hamlet;Macbeth;Romeo und Julia;Othello;2;Schwere Fragen - Literatur;Die Familien stammen aus Romeo und Julia.;4
"Wer schrieb ""Die Verwandlung""?";Franz Kafka;Bertolt Brecht;Hermann Hesse;Stefan Zweig;0;Schwere Fragen - Literatur;Die Verwandlung ist eine Erzaehlung von Franz Kafka.;5
"Wie heisst der erste Band von Tolkiens Hauptwerk ""Der Herr der Ringe"" auf Deutsch?";Die zwei Tuerme;Die Rueckkehr des Koenigs;Die Gefaehrten;Das Silmarillion;2;Schwere Fragen - Literatur;Der erste Band heisst Die Gefaehrten.;5
"Wer schrieb ""Der alte Mann und das Meer""?";John Steinbeck;Ernest Hemingway;Jack London;Mark Twain;1;Schwere Fragen - Literatur;Die Novelle stammt von Ernest Hemingway.;4
"Welche Autorin schrieb ""Stolz und Vorurteil""?";Emily Bronte;Jane Austen;Virginia Woolf;Louisa May Alcott;1;Schwere Fragen - Literatur;Stolz und Vorurteil ist von Jane Austen.;4
